# Time                      Task   Queued  Running   Hostname Exit   Command
Tue Feb 11 02:17:08 2014: 000152     3210     1720   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:17:29 2014: 000023        6     4948   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:18:16 2014: 000182     3445     1553   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:18:18 2014: 000138     1811     3190   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:18:40 2014: 000158     3351     1671   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:18:48 2014: 000171     3414     1616   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:01 2014: 000164     3381     1662   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:12 2014: 000160     3358     1696   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:16 2014: 000163     3375     1683   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:18 2014: 000162     3373     1687   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:20 2014: 000186     3463     1599   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:25 2014: 000154     3326     1742   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:42 2014: 000180     3443     1641   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:47 2014: 000167     3410     1679   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:51 2014: 000157     3341     1752   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:54 2014: 000185     3460     1636   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:54 2014: 000161     3372     1724   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:57 2014: 000165     3388     1711   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:19:57 2014: 000181     3445     1654   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:11 2014: 000179     3439     1674   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:14 2014: 000088        6     5112   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:16 2014: 000175     3428     1690   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:23 2014: 000166     3392     1733   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:26 2014: 000134     1789     3340   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:28 2014: 000063        5     5127   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:28 2014: 000169     3413     1717   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:28 2014: 000177     3435     1695   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:28 2014: 000176     3433     1697   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:30 2014: 000187     3464     1668   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:34 2014: 000173     3421     1715   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:37 2014: 000159     3355     1784   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:44 2014: 000002        5     5144   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:44 2014: 000200     3507     1639   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:20:58 2014: 000172     3415     1744   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:03 2014: 000156     3337     1829   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:07 2014: 000190     3481     1688   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:07 2014: 000136     1799     3371   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:08 2014: 000216     3557     1613   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:08 2014: 000174     3421     1749   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:08 2014: 000155     3330     1841   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:11 2014: 000184     3454     1719   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:12 2014: 000183     3448     1726   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:13 2014: 000170     3414     1761   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:19 2014: 000196     3495     1686   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:20 2014: 000125     1752     3431   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:24 2014: 000217     3557     1629   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:26 2014: 000199     3504     1684   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:26 2014: 000192     3487     1701   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:29 2014: 000214     3551     1640   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:31 2014: 000203     3509     1684   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:33 2014: 000197     3501     1694   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:37 2014: 000144     1833     3367   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:38 2014: 000209     3538     1662   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:39 2014: 000215     3552     1649   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:47 2014: 000029        6     5206   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:55 2014: 000204     3510     1707   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:56 2014: 000188     3468     1750   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:57 2014: 000193     3492     1727   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:21:58 2014: 000198     3502     1718   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:02 2014: 000213     3549     1675   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:02 2014: 000168     3413     1811   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:02 2014: 000189     3480     1744   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:08 2014: 000206     3524     1706   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:10 2014: 000001        5     5230   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:17 2014: 000202     3509     1730   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:23 2014: 000201     3508     1737   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:29 2014: 000210     3541     1710   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:29 2014: 000212     3549     1702   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:30 2014: 000191     3484     1768   nid00974    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:30 2014: 000218     3574     1677   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:34 2014: 000211     3548     1708   nid01040    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:35 2014: 000224     3613     1643   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:35 2014: 000219     3587     1669   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:36 2014: 000178     3438     1819   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:22:43 2014: 000205     3512     1753   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:23:01 2014: 000208     3532     1751   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:23:26 2014: 000194     3493     1815   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:23:40 2014: 000223     3607     1714   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:23:50 2014: 000221     3591     1740   nid00975    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:23:51 2014: 000220     3589     1743   nid00493    0   /global/homes/k/kutz/lilac/tf_script.sh 
Tue Feb 11 02:24:13 2014: 000222     3601     1753   nid00560    0   /global/homes/k/kutz/lilac/tf_script.sh 
